aTitle,Artist,Genres,Id
Dance Monkey,Tones and I,['pop'],0
ROXANNE,Arizona Zervas,"['pop','rap']",1
Tusa,KAROL G,"['latin','trap']",2
Circles,Post Malone,['rap'],3
Memories,Maroon 5,"['pop','rock']",4
Falling,Trevor Daniel,"['rap' , 'pop', 'r&b']",5
Don't Start Now,Dua Lipa,"['pop', 'dance']",6
RITMO (Bad Boys For Life),Black Eyed Peas,"['pop','dance']",7
Señorita,Shawn Mendes,"['pop' , 'dance']",8
Blinding Lights,The Weeknd,"['pop','r&b']",9
bad guy,Billie Eilish,"['pop', 'electropop']",10
everything I wanted,Billie Eilish,"['pop', 'electropop']",11
Adore You,Harry Styles,['pop'],12
Lose You To Love Me,Selena Gomez,"['pop' , 'dance']",13
Watermelon Sugar,Harry Styles,['pop'],14
Old Town Road - Remix,Lil Nas X,"['lgbtq','hip pop','rap','pop']",15
Sucker,Jonas Brothers,"['pop','boy band','dance', 'pop']",16
Psycho,Red Velvet,"['kpop','girl band']",17
Bohemian Rhapsody,Queen,"['rock','classic']",18
Believer,Imagine Dragons,"['modern','rock', 'pop']",19
